/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_simple_update.go,335,Potential file inclusion via variable,MEDIUM,HIGH,"334: func openFile(filePath string) (*os.File, error) {
335: 	if f, err := os.Open(filePath); err != nil {
336: 		return nil, fmt.Errorf(""error when opening %s file - %s"", filePath, err)
",CWE-22
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_virtual_media.go,300,Errors unhandled.,LOW,HIGH,"299: 	if virtualMedia.WriteProtected != writeProtected {
300: 		d.Set(""write_protected"", virtualMedia.WriteProtected)
301: 	}
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_virtual_media.go,297,Errors unhandled.,LOW,HIGH,"296: 	if virtualMedia.Inserted != inserted {
297: 		d.Set(""inserted"", virtualMedia.Inserted)
298: 	}
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_virtual_media.go,294,Errors unhandled.,LOW,HIGH,"293: 	if string(virtualMedia.TransferProtocolType) != transferProtocolType {
294: 		d.Set(""transfer_protocol_type"", virtualMedia.TransferProtocolType)
295: 	}
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_virtual_media.go,291,Errors unhandled.,LOW,HIGH,"290: 	if string(virtualMedia.TransferMethod) != transferMethod {
291: 		d.Set(""transfer_method"", virtualMedia.TransferMethod)
292: 	}
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_virtual_media.go,288,Errors unhandled.,LOW,HIGH,"287: 	if virtualMedia.Image != image {
288: 		d.Set(""image"", virtualMedia.Image)
289: 	}
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_user_account.go,222,Errors unhandled.,LOW,HIGH,"221: 	d.Set(""role_id"", account.RoleID)
222: 	d.Set(""user_id"", account.ID)
223: 
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_user_account.go,221,Errors unhandled.,LOW,HIGH,"220: 	d.Set(""enabled"", account.Enabled)
221: 	d.Set(""role_id"", account.RoleID)
222: 	d.Set(""user_id"", account.ID)
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_user_account.go,220,Errors unhandled.,LOW,HIGH,"219: 	d.Set(""username"", account.UserName)
220: 	d.Set(""enabled"", account.Enabled)
221: 	d.Set(""role_id"", account.RoleID)
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_user_account.go,219,Errors unhandled.,LOW,HIGH,"218: 
219: 	d.Set(""username"", account.UserName)
220: 	d.Set(""enabled"", account.Enabled)
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_simple_update.go,301,Errors unhandled.,LOW,HIGH,"300: 			d.Set(""software_id"", fwPackage.SoftwareID)
301: 			d.Set(""version"", fwPackage.Version)
302: 			d.SetId(fwPackage.ODataID)
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_simple_update.go,300,Errors unhandled.,LOW,HIGH,"299: 			}
300: 			d.Set(""software_id"", fwPackage.SoftwareID)
301: 			d.Set(""version"", fwPackage.Version)
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_simple_update.go,281,Errors unhandled.,LOW,HIGH,"280: 			}
281: 			response.Body.Close()
282: 
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_simple_update.go,260,Errors unhandled.,LOW,HIGH,"259: 			}
260: 			response.Body.Close()
261: 			packageLocation := response.Header.Get(""Location"")
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_simple_update.go,235,Errors unhandled.,LOW,HIGH,"234: 			}
235: 			response.Body.Close()
236: 			etag := response.Header.Get(""ETag"")
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_power.go,204,Errors unhandled.,LOW,HIGH,"203: 
204: 	d.Set(""power_state"", powerState)
205: 
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_power.go,47,Errors unhandled.,LOW,HIGH,"46: 		} else if resetType == ""ForceRestart"" || resetType == ""PowerCycle"" || resetType == ""Nmi"" {
47: 			d.SetNew(""power_state"", ""Reset_On"")
48: 		}
",CWE-703
/root/prajwal/redfish-provider/terraform-provider-redfish/redfish/resource_redfish_power.go,45,Errors unhandled.,LOW,HIGH,"44: 		} else if resetType == ""ForceOn"" || resetType == ""On"" {
45: 			d.SetNew(""power_state"", ""On"")
46: 		} else if resetType == ""ForceRestart"" || resetType == ""PowerCycle"" || resetType == ""Nmi"" {
",CWE-703
